Folder,Sample,Channel,Background_Value
c,UT1,V763-H,318.8999938964844
c,UT1,V763-A,102.5
c,UT1,FSC-Width,1012.9667358398438
c,UT1,Time,9745758.0
c,UT7,FSC-H,531297.5
c,UT7,FSC-A,545909.625
c,UT7,SSC-H,182490.84375
c,UT7,SSC-A,202520.75
c,UT7,B525-H,1655.9000244140625
c,UT7,B525-A,1258.4000244140625
c,UT7,B610-H,1150.0
c,UT7,B610-A,862.0999755859375
c,UT7,B690-H,275.8999938964844
c,UT7,B690-A,133.5
c,UT7,Y585-H,1691.0
c,UT7,Y585-A,999.0999755859375
c,UT7,Y610-H,363.1000061035156
c,UT7,Y610-A,31.200000762939453
c,UT7,Y675-H,251.5
c,UT7,Y675-A,34.599998474121094
c,UT7,Y710-H,245.10000610351562
c,UT7,Y710-A,29.0
c,UT7,Y763-H,242.39999389648438
c,UT7,Y763-A,20.5
c,UT7,R660-H,258.8999938964844
c,UT7,R660-A,59.400001525878906
c,UT7,R712-H,256.1000061035156
c,UT7,R712-A,63.599998474121094
c,UT7,R763-H,418.5
c,UT7,R763-A,6.099999904632568
c,UT7,V450-H,1121.699951171875
c,UT7,V450-A,738.5999755859375
c,UT7,V525-H,431.5
c,UT7,V525-A,232.39999389648438
c,UT7,V610-H,491.5
c,UT7,V610-A,276.70001220703125
c,UT7,V660-H,221.5
c,UT7,V660-A,70.0999984741211
c,UT7,V763-H,318.8999938964844
c,UT7,V763-A,102.5
c,UT7,FSC-Width,1012.9667358398438
c,UT7,Time,9745758.0
d,UR6,FSC-H,586399.625
d,UR6,FSC-A,602143.8125
d,UR6,SSC-H,242917.75
d,UR6,SSC-A,266164.0625
d,UR6,B525-H,2211.949951171875
d,UR6,B525-A,2183.64990234375
d,UR6,B610-H,1503.5999755859375
d,UR6,B610-A,1436.550048828125
d,UR6,B690-H,350.3999938964844
d,UR6,B690-A,255.5
d,UR6,Y585-H,2337.39990234375
d,UR6,Y585-A,2186.35009765625
d,UR6,Y610-H,394.1000061035156
d,UR6,Y610-A,120.9000015258789
d,UR6,Y675-H,340.54998779296875
d,UR6,Y675-A,212.0
d,UR6,Y710-H,318.70001220703125
d,UR6,Y710-A,183.89999389648438
d,UR6,Y763-H,280.5
d,UR6,Y763-A,112.9000015258789
d,UR6,R660-H,1625.800048828125
d,UR6,R660-A,1607.0999755859375
d,UR6,R712-H,1604.5999755859375
d,UR6,R712-A,1597.35009765625
d,UR6,R763-H,446.0
d,UR6,R763-A,77.30000305175781
d,UR6,V450-H,1441.5999755859375
d,UR6,V450-A,1198.5
d,UR6,V525-H,493.5
d,UR6,V525-A,349.29998779296875
d,UR6,V610-H,605.0
d,UR6,V610-A,453.3999938964844
d,UR6,V660-H,268.8999938964844
